quote,author,no_stopwords,lemmatized,stemmed
"She is clothed in strength, and dignity, and she laughs without fear of the future.",Bible Bible,clothed strength dignity laughs without fear future,clothe strength dignity laugh without fear future,cloth strength digniti laugh without fear futur
"The pain that you've been feeling, can't compare to the joy that's coming.",Bible Bible,pain feeling compare joy coming,pain feel compare joy come,pain feel compar joy come
Be bold. Be brave. Be courageous.,Bible Bible,bold brave courageous,bold brave courageous,bold brave courag
There is a time for everything and a reason for every activity under the heavens.,Bible Bible,time everything reason every activity heavens,time everything reason every activity heaven,time everyth reason everi activ heaven
"Don't be afraid, for I am with you. Don't be discouraged, for I am your God. I will strengthen you and help you. I will hold you up with my victorious right hand.",Bible Bible,afraid discouraged God strengthen help hold victorious right hand,afraid discourage God strengthen help hold victorious right hand,afraid discourag god strengthen help hold victori right hand
"He will cover you with His feathers, and under His wings, you will find refuge; His faithfulness will be your shield and rampart.",Bible Bible,cover feathers wings find refuge faithfulness shield rampart,cover feather wing find refuge faithfulness shield rampart,cover feather wing find refug faith shield rampart
"My soul finds rest in God alone, my salvation comes from Him, He alone is my rock and my salvation.",Bible Bible,soul finds rest God alone salvation comes alone rock salvation,soul find rest God alone salvation come alone rock salvation,soul find rest god alon salvat come alon rock salvat
I can do everything through Christ who gives me strength.,Bible Bible,everything Christ gives strength,everything Christ give strength,everyth christ give strength
"I will not cause pain without allowing something new to be born, says the Lord.",Bible Bible,cause pain without allowing something new born says Lord,cause pain without allow something new bear say Lord,caus pain without allow someth new bear say lord
"When you go through deep waters, I will be with you.",Bible Bible,go deep waters,go deep water,go deep water
"Commit your way to the Lord. Trust in Him, and He will act.",Bible Bible,Commit way Lord Trust act,Commit way Lord Trust act,commit way lord trust act
"For I know the plans I have for you, plans to prosper you and not harm you, plans to give you hope and a future.",Bible Bible,know plans plans prosper harm plans give hope future,know plan plan prosper harm plan give hope future,know plan plan prosper harm plan give hope futur
